Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;15,4 €/m2;+ 0,8 %;- 1,1 %;+ 7,2 %
Enero 2023;15,3 €/m2;- 0,5 %;- 3,6 %;+ 7,4 %
Diciembre 2022;15,3 €/m2;- 1,4 %;- 2,9 %;+ 10,0 %
Noviembre 2022;15,6 €/m2;- 1,7 %;0,0 %;+ 9,1 %
Octubre 2022;15,8 €/m2;+ 0,1 %;+ 2,4 %;+ 10,0 %
Septiembre 2022;15,8 €/m2;+ 1,6 %;+ 3,7 %;+ 10,1 %
Agosto 2022;15,6 €/m2;+ 0,7 %;+ 3,1 %;+ 7,7 %
Julio 2022;15,4 €/m2;+ 1,3 %;+ 5,2 %;+ 7,7 %
Junio 2022;15,2 €/m2;+ 1,0 %;+ 3,7 %;+ 6,5 %
Mayo 2022;15,1 €/m2;+ 2,7 %;+ 5,1 %;+ 6,6 %
Abril 2022;14,7 €/m2;- 0,1 %;+ 3,4 %;+ 4,4 %
Marzo 2022;14,7 €/m2;+ 2,5 %;+ 5,4 %;+ 3,4 %
Febrero 2022;14,3 €/m2;+ 1,0 %;+ 0,6 %;+ 1,0 %
Enero 2022;14,2 €/m2;+ 1,8 %;- 1,3 %;+ 0,4 %
Diciembre 2021;13,9 €/m2;- 2,2 %;- 2,8 %;- 3,2 %
Noviembre 2021;14,3 €/m2;- 0,8 %;- 1,2 %;- 3,6 %
Octubre 2021;14,4 €/m2;+ 0,2 %;+ 0,3 %;- 4,7 %
Septiembre 2021;14,4 €/m2;- 0,6 %;+ 0,3 %;- 5,2 %
Agosto 2021;14,4 €/m2;+ 0,7 %;+ 2,1 %;- 4,4 %
Julio 2021;14,3 €/m2;+ 0,3 %;+ 2,0 %;- 4,8 %
Junio 2021;14,3 €/m2;+ 1,1 %;+ 0,6 %;- 4,9 %
Mayo 2021;14,1 €/m2;+ 0,6 %;- 0,4 %;- 5,8 %
Abril 2021;14,1 €/m2;- 1,1 %;- 0,6 %;- 5,7 %
Marzo 2021;14,2 €/m2;+ 0,1 %;- 1,3 %;- 4,0 %
Febrero 2021;14,2 €/m2;+ 0,4 %;- 4,0 %;- 4,3 %
Enero 2021;14,1 €/m2;- 1,8 %;- 6,3 %;- 4,3 %
Diciembre 2020;14,4 €/m2;- 2,6 %;- 4,9 %;- 1,6 %
Noviembre 2020;14,8 €/m2;- 2,0 %;- 2,1 %;+ 1,3 %
Octubre 2020;15,1 €/m2;- 0,4 %;+ 0,1 %;+ 2,0 %
Septiembre 2020;15,1 €/m2;+ 0,2 %;+ 0,7 %;+ 0,7 %
Agosto 2020;15,1 €/m2;+ 0,2 %;+ 0,6 %;- 0,4 %
Julio 2020;15,1 €/m2;+ 0,2 %;+ 1,1 %;+ 0,6 %
Junio 2020;15,0 €/m2;+ 0,1 %;+ 1,6 %;+ 1,1 %
Mayo 2020;15,0 €/m2;+ 0,8 %;+ 1,2 %;+ 0,7 %
Abril 2020;14,9 €/m2;+ 0,7 %;+ 0,8 %;+ 0,4 %
Marzo 2020;14,8 €/m2;- 0,2 %;+ 1,1 %;- 0,5 %
Febrero 2020;14,8 €/m2;+ 0,3 %;+ 1,5 %;- 0,7 %
Enero 2020;14,8 €/m2;+ 1,0 %;- 0,1 %;0,0 %
Diciembre 2019;14,6 €/m2;+ 0,2 %;- 2,6 %;+ 0,3 %
Noviembre 2019;14,6 €/m2;- 1,3 %;- 3,7 %;+ 0,7 %
