Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;13,0 €/m2;- 0,3 %;- 0,6 %;+ 8,5 %
Enero 2023;13,1 €/m2;+ 0,2 %;+ 1,1 %;+ 8,7 %
Diciembre 2022;13,0 €/m2;- 0,5 %;+ 0,8 %;+ 9,9 %
Noviembre 2022;13,1 €/m2;+ 1,3 %;+ 3,0 %;+ 10,7 %
Octubre 2022;12,9 €/m2;0,0 %;+ 3,3 %;+ 8,7 %
Septiembre 2022;12,9 €/m2;+ 1,6 %;+ 3,3 %;+ 10,5 %
Agosto 2022;12,7 €/m2;+ 1,7 %;+ 3,4 %;+ 10,9 %
Julio 2022;12,5 €/m2;0,0 %;+ 4,0 %;+ 8,3 %
Junio 2022;12,5 €/m2;+ 1,7 %;+ 4,2 %;+ 7,1 %
Mayo 2022;12,3 €/m2;+ 2,3 %;+ 2,5 %;+ 6,5 %
Abril 2022;12,0 €/m2;+ 0,1 %;+ 0,1 %;+ 5,1 %
Marzo 2022;12,0 €/m2;+ 0,1 %;+ 1,3 %;+ 4,7 %
Febrero 2022;12,0 €/m2;- 0,1 %;+ 1,5 %;+ 2,8 %
Enero 2022;12,0 €/m2;+ 1,3 %;+ 1,1 %;+ 1,9 %
Diciembre 2021;11,8 €/m2;+ 0,3 %;+ 1,4 %;- 1,3 %
Noviembre 2021;11,8 €/m2;- 0,5 %;+ 3,1 %;- 3,0 %
Octubre 2021;11,9 €/m2;+ 1,6 %;+ 2,9 %;- 4,6 %
Septiembre 2021;11,7 €/m2;+ 2,0 %;+ 0,2 %;- 5,4 %
Agosto 2021;11,5 €/m2;- 0,6 %;- 0,6 %;- 6,8 %
Julio 2021;11,5 €/m2;- 1,1 %;+ 0,9 %;- 7,7 %
Junio 2021;11,7 €/m2;+ 1,1 %;+ 1,8 %;- 9,3 %
Mayo 2021;11,5 €/m2;+ 1,0 %;- 1,1 %;- 11,2 %
Abril 2021;11,4 €/m2;- 0,3 %;- 3,0 %;- 10,1 %
Marzo 2021;11,5 €/m2;- 1,8 %;- 4,5 %;- 8,2 %
Febrero 2021;11,7 €/m2;- 1,0 %;- 4,2 %;- 7,8 %
Enero 2021;11,8 €/m2;- 1,8 %;- 5,3 %;- 5,7 %
Diciembre 2020;12,0 €/m2;- 1,4 %;- 2,9 %;- 3,5 %
Noviembre 2020;12,2 €/m2;- 2,1 %;- 1,1 %;- 1,2 %
Octubre 2020;12,4 €/m2;+ 0,7 %;- 0,5 %;+ 1,1 %
Septiembre 2020;12,4 €/m2;+ 0,5 %;- 3,8 %;- 0,2 %
Agosto 2020;12,3 €/m2;- 1,5 %;- 5,3 %;+ 1,3 %
Julio 2020;12,5 €/m2;- 2,8 %;- 1,7 %;+ 5,0 %
Junio 2020;12,9 €/m2;- 1,1 %;+ 3,0 %;+ 8,6 %
Mayo 2020;13,0 €/m2;+ 2,2 %;+ 2,7 %;+ 8,1 %
Abril 2020;12,7 €/m2;+ 1,9 %;+ 1,8 %;+ 4,6 %
Marzo 2020;12,5 €/m2;- 1,4 %;+ 0,4 %;+ 3,8 %
Febrero 2020;12,7 €/m2;+ 1,3 %;+ 2,8 %;+ 8,8 %
Enero 2020;12,5 €/m2;+ 0,5 %;+ 1,5 %;+ 9,3 %
Diciembre 2019;12,4 €/m2;+ 0,9 %;+ 0,4 %;+ 9,5 %
Noviembre 2019;12,3 €/m2;+ 0,1 %;+ 1,4 %;+ 9,7 %
Octubre 2019;12,3 €/m2;- 0,6 %;+ 3,4 %;+ 9,8 %
Septiembre 2019;12,4 €/m2;+ 2,0 %;+ 4,7 %;+ 9,6 %
Agosto 2019;12,2 €/m2;+ 2,1 %;+ 1,1 %;+ 8,0 %
Julio 2019;11,9 €/m2;+ 0,6 %;- 2,2 %;+ 7,6 %
Junio 2019;11,8 €/m2;- 1,5 %;- 1,6 %;+ 8,6 %
Mayo 2019;12,0 €/m2;- 1,2 %;+ 3,3 %;+ 11,0 %
Abril 2019;12,2 €/m2;+ 1,1 %;+ 6,4 %;+ 14,2 %
Marzo 2019;12,0 €/m2;+ 3,4 %;+ 5,9 %;+ 13,8 %
Febrero 2019;11,6 €/m2;+ 1,8 %;+ 3,6 %;+ 10,6 %
Enero 2019;11,4 €/m2;+ 0,6 %;+ 1,9 %;+ 9,4 %
Diciembre 2018;11,4 €/m2;+ 1,1 %;+ 0,5 %;+ 10,4 %
Noviembre 2018;11,2 €/m2;+ 0,2 %;- 0,2 %;+ 8,9 %
Octubre 2018;11,2 €/m2;- 0,8 %;+ 1,3 %;+ 7,8 %
Septiembre 2018;11,3 €/m2;+ 0,5 %;+ 3,8 %;+ 8,2 %
Agosto 2018;11,3 €/m2;+ 1,7 %;+ 3,9 %;+ 9,0 %
Julio 2018;11,1 €/m2;+ 1,6 %;+ 3,9 %;+ 10,7 %
Junio 2018;10,9 €/m2;+ 0,6 %;+ 3,1 %;+ 11,1 %
Mayo 2018;10,8 €/m2;+ 1,6 %;+ 2,9 %;+ 10,5 %
Abril 2018;10,7 €/m2;+ 0,8 %;+ 2,0 %;+ 7,8 %
Marzo 2018;10,6 €/m2;+ 0,4 %;+ 2,7 %;+ 8,1 %
Febrero 2018;10,5 €/m2;+ 0,7 %;+ 2,1 %;+ 7,0 %
Enero 2018;10,5 €/m2;+ 1,5 %;+ 0,4 %;+ 9,0 %
Diciembre 2017;10,3 €/m2;- 0,2 %;- 1,5 %;+ 10,0 %
Noviembre 2017;10,3 €/m2;- 0,9 %;- 0,1 %;+ 10,5 %
Octubre 2017;10,4 €/m2;- 0,4 %;+ 4,1 %;+ 10,2 %
Septiembre 2017;10,4 €/m2;+ 1,2 %;+ 6,6 %;+ 12,0 %
Agosto 2017;10,3 €/m2;+ 3,3 %;+ 5,4 %;+ 13,5 %
Julio 2017;10,0 €/m2;+ 2,0 %;+ 1,2 %;+ 11,9 %
Junio 2017;9,8 €/m2;+ 0,1 %;+ 0,3 %;+ 9,8 %
Mayo 2017;9,8 €/m2;- 0,9 %;- 0,4 %;+ 8,9 %
Abril 2017;9,9 €/m2;+ 1,0 %;+ 3,1 %;+ 9,8 %
Marzo 2017;9,8 €/m2;- 0,6 %;+ 4,5 %;+ 9,2 %
Febrero 2017;9,8 €/m2;+ 2,6 %;+ 5,4 %;+ 11,4 %
Enero 2017;9,6 €/m2;+ 2,5 %;+ 1,5 %;+ 9,7 %
Diciembre 2016;9,4 €/m2;+ 0,2 %;+ 0,2 %;+ 7,9 %
Noviembre 2016;9,3 €/m2;- 1,1 %;+ 2,5 %;+ 7,2 %
Octubre 2016;9,4 €/m2;+ 1,2 %;+ 5,7 %;+ 7,9 %
Septiembre 2016;9,3 €/m2;+ 2,5 %;+ 4,6 %;+ 6,7 %
Agosto 2016;9,1 €/m2;+ 1,9 %;+ 1,2 %;+ 5,1 %
Julio 2016;8,9 €/m2;+ 0,1 %;- 0,7 %;+ 4,3 %
Junio 2016;8,9 €/m2;- 0,7 %;- 0,3 %;+ 5,1 %
Mayo 2016;9,0 €/m2;0,0 %;+ 1,8 %;+ 7,7 %
Abril 2016;9,0 €/m2;+ 0,5 %;+ 2,9 %;+ 6,9 %
Marzo 2016;9,0 €/m2;+ 1,4 %;+ 3,4 %;+ 5,9 %
Febrero 2016;8,8 €/m2;+ 1,0 %;+ 1,5 %;+ 4,5 %
Enero 2016;8,7 €/m2;+ 0,9 %;- 0,1 %;+ 3,4 %
Diciembre 2015;8,7 €/m2;- 0,4 %;- 0,9 %;+ 2,4 %
Noviembre 2015;8,7 €/m2;- 0,5 %;+ 0,5 %;+ 0,4 %
Octubre 2015;8,7 €/m2;0,0 %;+ 2,1 %;+ 1,0 %
Septiembre 2015;8,7 €/m2;+ 1,0 %;+ 3,0 %;+ 2,1 %
Agosto 2015;8,7 €/m2;+ 1,1 %;+ 3,7 %;+ 1,5 %
Julio 2015;8,6 €/m2;+ 0,9 %;+ 1,8 %;+ 0,5 %
Junio 2015;8,5 €/m2;+ 1,7 %;+ 0,4 %;+ 0,7 %
Mayo 2015;8,4 €/m2;- 0,8 %;- 1,2 %;+ 0,3 %
Abril 2015;8,4 €/m2;- 0,5 %;- 0,5 %;- 0,2 %
Marzo 2015;8,5 €/m2;+ 0,1 %;0,0 %;+ 0,5 %
Febrero 2015;8,5 €/m2;- 0,1 %;- 2,5 %;+ 0,5 %
Enero 2015;8,5 €/m2;0,0 %;- 2,4 %;+ 0,8 %
Diciembre 2014;8,5 €/m2;- 2,4 %;- 1,3 %;+ 0,1 %
Noviembre 2014;8,7 €/m2;0,0 %;+ 1,5 %;+ 0,7 %
Octubre 2014;8,7 €/m2;+ 1,1 %;+ 1,6 %;- 0,3 %
Septiembre 2014;8,6 €/m2;+ 0,4 %;+ 1,6 %;- 1,0 %
Agosto 2014;8,5 €/m2;+ 0,1 %;+ 2,5 %;- 1,4 %
Julio 2014;8,5 €/m2;+ 1,1 %;+ 1,1 %;- 0,9 %
Junio 2014;8,4 €/m2;+ 1,3 %;+ 0,2 %;- 1,5 %
Mayo 2014;8,3 €/m2;- 1,2 %;- 1,0 %;- 3,8 %
Abril 2014;8,4 €/m2;+ 0,2 %;+ 0,4 %;- 3,2 %
Marzo 2014;8,4 €/m2;0,0 %;- 0,4 %;- 4,3 %
Febrero 2014;8,4 €/m2;+ 0,2 %;- 2,2 %;- 3,8 %
Enero 2014;8,4 €/m2;- 0,6 %;- 3,4 %;- 5,7 %
Diciembre 2013;8,4 €/m2;- 1,8 %;- 2,4 %;- 6,2 %
Noviembre 2013;8,6 €/m2;- 1,0 %;- 0,6 %;- 5,0 %
Octubre 2013;8,7 €/m2;+ 0,3 %;+ 1,0 %;- 5,7 %
Septiembre 2013;8,7 €/m2;0,0 %;+ 1,0 %;- 6,7 %
Agosto 2013;8,7 €/m2;+ 0,7 %;0,0 %;- 6,2 %
Julio 2013;8,6 €/m2;+ 0,4 %;- 1,3 %;- 6,5 %
Junio 2013;8,6 €/m2;- 1,1 %;- 2,6 %;- 6,5 %
Mayo 2013;8,7 €/m2;- 0,6 %;- 1,0 %;- 5,5 %
Abril 2013;8,7 €/m2;- 0,9 %;- 2,1 %;- 6,1 %
Marzo 2013;8,8 €/m2;+ 0,5 %;- 2,3 %;- 6,2 %
Febrero 2013;8,8 €/m2;- 1,7 %;- 3,4 %;- 7,9 %
Enero 2013;8,9 €/m2;- 1,1 %;- 3,4 %;- 6,5 %
Diciembre 2012;9,0 €/m2;- 0,6 %;- 3,0 %;- 5,4 %
Noviembre 2012;9,1 €/m2;- 1,7 %;- 1,8 %;- 4,6 %
Octubre 2012;9,2 €/m2;- 0,7 %;+ 0,2 %;- 3,0 %
Septiembre 2012;9,3 €/m2;+ 0,6 %;+ 1,3 %;- 1,7 %
Agosto 2012;9,2 €/m2;+ 0,3 %;+ 0,6 %;- 2,3 %
Julio 2012;9,2 €/m2;+ 0,4 %;- 0,9 %;- 2,5 %
Junio 2012;9,2 €/m2;- 0,1 %;- 2,2 %;- 2,9 %
Mayo 2012;9,2 €/m2;- 1,2 %;- 3,5 %;- 2,8 %
Abril 2012;9,3 €/m2;- 1,0 %;- 2,5 %;- 2,2 %
Marzo 2012;9,4 €/m2;- 1,3 %;- 1,5 %;- 3,9 %
Febrero 2012;9,5 €/m2;- 0,2 %;+ 0,1 %;- 2,5 %
Enero 2012;9,5 €/m2;0,0 %;+ 0,2 %;- 2,8 %
Diciembre 2011;9,5 €/m2;+ 0,2 %;+ 0,8 %;- 2,1 %
