Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;12,7 €/m2;+ 1,9 %;+ 1,7 %;+ 8,9 %
Enero 2023;12,4 €/m2;- 0,4 %;+ 0,3 %;+ 8,4 %
Diciembre 2022;12,5 €/m2;+ 0,2 %;+ 1,8 %;+ 9,2 %
Noviembre 2022;12,5 €/m2;+ 0,5 %;+ 2,2 %;+ 9,6 %
Octubre 2022;12,4 €/m2;+ 1,1 %;+ 3,1 %;+ 10,6 %
Septiembre 2022;12,3 €/m2;+ 0,6 %;+ 1,9 %;+ 9,6 %
Agosto 2022;12,2 €/m2;+ 1,4 %;+ 1,7 %;+ 7,7 %
Julio 2022;12,0 €/m2;- 0,2 %;0,0 %;+ 5,8 %
Junio 2022;12,1 €/m2;+ 0,5 %;+ 2,2 %;+ 5,6 %
Mayo 2022;12,0 €/m2;- 0,3 %;+ 3,0 %;+ 5,2 %
Abril 2022;12,0 €/m2;+ 2,1 %;+ 4,8 %;+ 5,4 %
Marzo 2022;11,8 €/m2;+ 1,3 %;+ 3,1 %;+ 2,3 %
Febrero 2022;11,6 €/m2;+ 1,4 %;+ 2,3 %;- 0,1 %
Enero 2022;11,5 €/m2;+ 0,4 %;+ 2,4 %;- 2,3 %
Diciembre 2021;11,4 €/m2;+ 0,5 %;+ 2,2 %;- 3,3 %
Noviembre 2021;11,4 €/m2;+ 1,4 %;+ 0,5 %;- 4,7 %
Octubre 2021;11,2 €/m2;+ 0,2 %;- 1,3 %;- 6,8 %
Septiembre 2021;11,2 €/m2;- 1,1 %;- 1,9 %;- 7,7 %
Agosto 2021;11,3 €/m2;- 0,4 %;- 0,6 %;- 6,6 %
Julio 2021;11,4 €/m2;- 0,4 %;- 0,5 %;- 7,1 %
Junio 2021;11,4 €/m2;+ 0,2 %;- 0,9 %;- 6,6 %
Mayo 2021;11,4 €/m2;- 0,2 %;- 2,2 %;- 5,6 %
Abril 2021;11,4 €/m2;- 0,9 %;- 2,8 %;- 7,2 %
Marzo 2021;11,5 €/m2;- 1,1 %;- 2,6 %;- 6,0 %
Febrero 2021;11,7 €/m2;- 0,9 %;- 2,4 %;- 5,0 %
Enero 2021;11,8 €/m2;- 0,7 %;- 2,4 %;- 3,2 %
Diciembre 2020;11,8 €/m2;- 0,9 %;- 2,4 %;- 0,5 %
Noviembre 2020;11,9 €/m2;- 0,9 %;- 1,5 %;+ 0,2 %
Octubre 2020;12,0 €/m2;- 0,7 %;- 1,6 %;0,0 %
Septiembre 2020;12,1 €/m2;+ 0,1 %;- 0,8 %;+ 0,7 %
