Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Febrero 2023;12,1 €/m2;+ 0,4 %;+ 1,8 %;+ 8,7 %
Enero 2023;12,1 €/m2;+ 0,9 %;+ 1,9 %;+ 8,9 %
Diciembre 2022;12,0 €/m2;+ 0,5 %;0,0 %;+ 8,4 %
Noviembre 2022;11,9 €/m2;+ 0,5 %;+ 2,1 %;+ 9,8 %
Octubre 2022;11,9 €/m2;- 0,9 %;+ 4,8 %;+ 9,6 %
Septiembre 2022;12,0 €/m2;+ 2,6 %;+ 6,5 %;+ 11,3 %
Agosto 2022;11,7 €/m2;+ 3,1 %;+ 2,8 %;+ 6,4 %
Julio 2022;11,3 €/m2;+ 0,7 %;+ 1,0 %;+ 1,8 %
Junio 2022;11,3 €/m2;- 1,0 %;+ 0,2 %;+ 2,3 %
Mayo 2022;11,4 €/m2;+ 1,2 %;+ 1,7 %;+ 5,4 %
Abril 2022;11,2 €/m2;0,0 %;+ 1,0 %;+ 2,9 %
Marzo 2022;11,2 €/m2;+ 0,4 %;+ 1,4 %;+ 3,1 %
Febrero 2022;11,2 €/m2;+ 0,6 %;+ 2,8 %;+ 3,8 %
Enero 2022;11,1 €/m2;+ 0,4 %;+ 2,6 %;+ 2,6 %
Diciembre 2021;11,1 €/m2;+ 1,8 %;+ 2,7 %;0,0 %
Noviembre 2021;10,9 €/m2;+ 0,3 %;- 1,0 %;- 2,8 %
Octubre 2021;10,8 €/m2;+ 0,6 %;- 2,7 %;- 2,5 %
Septiembre 2021;10,8 €/m2;- 1,9 %;- 2,0 %;- 6,1 %
Agosto 2021;11,0 €/m2;- 1,4 %;+ 1,8 %;- 7,3 %
Julio 2021;11,1 €/m2;+ 1,2 %;+ 2,0 %;- 5,8 %
Junio 2021;11,0 €/m2;+ 2,0 %;+ 1,0 %;- 6,5 %
Mayo 2021;10,8 €/m2;- 1,1 %;+ 0,1 %;- 10,2 %
Abril 2021;10,9 €/m2;+ 0,2 %;+ 0,7 %;- 11,8 %
Marzo 2021;10,9 €/m2;+ 1,1 %;- 1,6 %;- 9,7 %
Febrero 2021;10,8 €/m2;- 0,6 %;- 3,7 %;- 5,2 %
Enero 2021;10,8 €/m2;- 2,1 %;- 2,5 %;- 3,3 %
Diciembre 2020;11,1 €/m2;- 1,1 %;- 3,6 %;- 1,4 %
Noviembre 2020;11,2 €/m2;+ 0,7 %;- 5,6 %;- 1,4 %
Octubre 2020;11,1 €/m2;- 3,2 %;- 6,0 %;- 2,0 %
Septiembre 2020;11,5 €/m2;- 3,1 %;- 2,5 %;+ 1,0 %
Agosto 2020;11,8 €/m2;+ 0,2 %;- 1,3 %;+ 5,5 %
Julio 2020;11,8 €/m2;+ 0,5 %;- 4,4 %;+ 5,4 %
Junio 2020;11,8 €/m2;- 2,0 %;- 2,4 %;+ 3,5 %
Mayo 2020;12,0 €/m2;- 3,0 %;+ 5,6 %;+ 9,1 %
Abril 2020;12,4 €/m2;+ 2,5 %;+ 10,3 %;+ 11,7 %
Marzo 2020;12,1 €/m2;+ 6,1 %;+ 7,5 %;+ 13,1 %
Febrero 2020;11,4 €/m2;+ 1,4 %;+ 0,2 %;+ 9,0 %
Enero 2020;11,2 €/m2;- 0,1 %;- 1,1 %;+ 12,1 %
Diciembre 2019;11,2 €/m2;- 1,1 %;- 1,2 %;+ 15,3 %
Noviembre 2019;11,3 €/m2;+ 0,1 %;+ 1,1 %;+ 19,4 %
Octubre 2019;11,3 €/m2;- 0,2 %;+ 1,1 %;+ 19,3 %
Septiembre 2019;11,4 €/m2;+ 1,2 %;- 0,1 %;+ 13,6 %
Agosto 2019;11,2 €/m2;+ 0,1 %;+ 2,0 %;+ 6,6 %
Julio 2019;11,2 €/m2;- 1,3 %;+ 1,3 %;+ 6,2 %
Junio 2019;11,4 €/m2;+ 3,3 %;+ 6,5 %;+ 4,2 %
Mayo 2019;11,0 €/m2;- 0,6 %;+ 5,6 %;+ 2,1 %
Abril 2019;11,1 €/m2;+ 3,8 %;+ 10,7 %;+ 6,6 %
Marzo 2019;10,7 €/m2;+ 2,4 %;+ 9,6 %;+ 3,2 %
Febrero 2019;10,4 €/m2;+ 4,2 %;+ 9,7 %;+ 2,0 %
Enero 2019;10,0 €/m2;+ 2,8 %;+ 5,2 %;- 1,2 %
Diciembre 2018;9,7 €/m2;+ 2,4 %;- 2,7 %;- 2,7 %
Noviembre 2018;9,5 €/m2;0,0 %;- 9,7 %;- 5,0 %
Octubre 2018;9,5 €/m2;- 5,0 %;- 10,0 %;- 3,9 %
Septiembre 2018;10,0 €/m2;- 5,0 %;- 8,3 %;+ 3,2 %
Agosto 2018;10,5 €/m2;- 0,3 %;- 2,3 %;+ 7,2 %
Julio 2018;10,6 €/m2;- 3,2 %;+ 1,6 %;+ 9,1 %
Junio 2018;10,9 €/m2;+ 1,3 %;+ 5,5 %;+ 13,8 %
Mayo 2018;10,8 €/m2;+ 3,7 %;+ 5,4 %;+ 12,3 %
Abril 2018;10,4 €/m2;+ 0,4 %;+ 2,6 %;+ 11,6 %
Marzo 2018;10,3 €/m2;+ 1,2 %;+ 3,4 %;+ 13,4 %
Febrero 2018;10,2 €/m2;+ 1,0 %;+ 2,2 %;+ 8,9 %
Enero 2018;10,1 €/m2;+ 1,2 %;+ 2,4 %;+ 9,0 %
Diciembre 2017;10,0 €/m2;0,0 %;+ 3,1 %;+ 6,2 %
Noviembre 2017;10,0 €/m2;+ 1,2 %;+ 1,8 %;+ 7,7 %
Octubre 2017;9,9 €/m2;+ 2,0 %;+ 2,1 %;+ 8,6 %
Septiembre 2017;9,7 €/m2;- 1,3 %;+ 1,1 %;+ 7,2 %
Agosto 2017;9,8 €/m2;+ 1,5 %;+ 2,4 %;+ 9,9 %
Julio 2017;9,7 €/m2;+ 0,9 %;+ 4,0 %;+ 10,4 %
Junio 2017;9,6 €/m2;0,0 %;+ 5,2 %;+ 9,2 %
Mayo 2017;9,6 €/m2;+ 3,0 %;+ 2,2 %;+ 7,9 %
Abril 2017;9,3 €/m2;+ 2,1 %;+ 0,2 %;+ 4,7 %
Marzo 2017;9,1 €/m2;- 2,9 %;- 3,1 %;+ 2,5 %
Febrero 2017;9,4 €/m2;+ 1,1 %;+ 1,1 %;+ 7,2 %
Enero 2017;9,3 €/m2;- 1,3 %;+ 2,0 %;+ 6,4 %
Diciembre 2016;9,4 €/m2;+ 1,3 %;+ 4,1 %;+ 7,7 %
Noviembre 2016;9,3 €/m2;+ 2,0 %;+ 3,9 %;+ 7,4 %
Octubre 2016;9,1 €/m2;+ 0,7 %;+ 3,8 %;+ 7,1 %
Septiembre 2016;9,0 €/m2;+ 1,1 %;+ 3,0 %;+ 5,3 %
Agosto 2016;8,9 €/m2;+ 2,0 %;+ 0,6 %;+ 3,7 %
Julio 2016;8,8 €/m2;- 0,1 %;- 1,4 %;+ 2,2 %
Junio 2016;8,8 €/m2;- 1,2 %;- 1,3 %;+ 3,7 %
Mayo 2016;8,9 €/m2;0,0 %;+ 1,6 %;+ 4,3 %
Abril 2016;8,9 €/m2;- 0,1 %;+ 1,8 %;+ 2,5 %
Marzo 2016;8,9 €/m2;+ 1,7 %;+ 1,8 %;+ 3,4 %
Febrero 2016;8,8 €/m2;+ 0,2 %;+ 1,2 %;+ 1,7 %
Enero 2016;8,7 €/m2;- 0,1 %;+ 2,8 %;+ 3,4 %
Diciembre 2015;8,7 €/m2;+ 1,1 %;+ 1,8 %;+ 6,2 %
Noviembre 2015;8,6 €/m2;+ 1,8 %;+ 0,3 %;+ 5,4 %
Octubre 2015;8,5 €/m2;- 1,0 %;- 0,9 %;+ 3,2 %
Septiembre 2015;8,6 €/m2;- 0,4 %;+ 1,4 %;+ 4,3 %
Agosto 2015;8,6 €/m2;+ 0,5 %;+ 1,2 %;+ 3,6 %
Julio 2015;8,6 €/m2;+ 1,3 %;- 1,1 %;+ 2,8 %
Junio 2015;8,5 €/m2;- 0,6 %;- 1,5 %;+ 1,6 %
Mayo 2015;8,5 €/m2;- 1,7 %;- 1,0 %;+ 2,6 %
Abril 2015;8,7 €/m2;+ 0,8 %;+ 2,7 %;+ 6,7 %
Marzo 2015;8,6 €/m2;0,0 %;+ 4,6 %;+ 6,0 %
Febrero 2015;8,6 €/m2;+ 1,9 %;+ 4,9 %;+ 8,7 %
Enero 2015;8,4 €/m2;+ 2,7 %;+ 2,6 %;+ 6,1 %
Diciembre 2014;8,2 €/m2;+ 0,2 %;- 0,1 %;+ 1,6 %
Noviembre 2014;8,2 €/m2;- 0,4 %;- 1,4 %;+ 0,8 %
Octubre 2014;8,2 €/m2;0,0 %;- 1,3 %;+ 0,2 %
Septiembre 2014;8,2 €/m2;- 1,0 %;- 1,3 %;- 1,3 %
Agosto 2014;8,3 €/m2;- 0,3 %;+ 0,1 %;- 0,3 %
Julio 2014;8,3 €/m2;+ 0,1 %;+ 2,6 %;- 1,5 %
Junio 2014;8,3 €/m2;+ 0,4 %;+ 2,8 %;- 2,3 %
Mayo 2014;8,3 €/m2;+ 2,2 %;+ 4,9 %;- 3,6 %
Abril 2014;8,1 €/m2;+ 0,2 %;+ 2,1 %;- 5,9 %
Marzo 2014;8,1 €/m2;+ 2,5 %;+ 0,2 %;- 5,4 %
