Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
Octubre 2012;8,5 €/m2;- 0,4 %;+ 0,5 %;- 1,8 %
Septiembre 2012;8,5 €/m2;+ 1,1 %;- 0,1 %;- 2,6 %
Agosto 2012;8,4 €/m2;- 0,2 %;- 0,6 %;- 5,3 %
Julio 2012;8,5 €/m2;- 1,0 %;- 1,2 %;- 5,8 %
Junio 2012;8,5 €/m2;+ 0,6 %;- 2,3 %;- 4,9 %
Mayo 2012;8,5 €/m2;- 0,9 %;- 2,5 %;- 7,8 %
Abril 2012;8,6 €/m2;- 2,1 %;- 2,3 %;- 7,8 %
Marzo 2012;8,7 €/m2;+ 0,5 %;- 0,6 %;- 5,5 %
Febrero 2012;8,7 €/m2;- 0,7 %;+ 0,1 %;n.d.
Enero 2012;8,8 €/m2;- 0,4 %;+ 1,3 %;n.d.
Diciembre 2011;8,8 €/m2;+ 1,2 %;+ 0,4 %;n.d.
Noviembre 2011;8,7 €/m2;+ 0,5 %;- 2,5 %;n.d.
Octubre 2011;8,6 €/m2;- 1,3 %;- 3,7 %;n.d.
Septiembre 2011;8,8 €/m2;- 1,6 %;- 2,4 %;n.d.
Agosto 2011;8,9 €/m2;- 0,8 %;- 3,2 %;n.d.
Julio 2011;9,0 €/m2;0,0 %;- 3,3 %;n.d.
Junio 2011;9,0 €/m2;- 2,5 %;- 2,9 %;n.d.
Mayo 2011;9,2 €/m2;- 0,8 %;n.d.;n.d.
Abril 2011;9,3 €/m2;+ 0,3 %;n.d.;n.d.
Marzo 2011;9,2 €/m2;n.d.;n.d.;n.d.
