CodigoBarrio,NombreBarrio,K_means_k8,K_means_k9,Gaussian_8,Gaussian_9,Birch_8,Birch_9,Affinity,MeanShift,Optics,Agg_8,Agg_9
71.0,Gaztambide,7,0,0,3,4,4,3,0,0,4,4
72.0,Arapiles,7,0,0,3,4,4,3,0,0,4,4
73.0,Trafalgar,7,0,0,3,4,4,3,0,0,4,4
74.0,Almagro,7,0,0,3,4,4,4,0,-1,4,4
75.0,Ríos Rosas,7,0,0,3,4,4,3,0,0,4,4
76.0,Vallehermoso,7,0,0,3,4,4,3,0,0,4,4
81.0,El Pardo,2,6,5,6,3,3,7,1,-1,3,3
82.0,Fuentelarreina,2,6,5,6,3,3,7,1,-1,3,3
83.0,Peñagrande,1,8,0,7,7,7,5,0,-1,7,7
84.0,Pilar,1,8,0,7,7,7,5,0,-1,7,7
85.0,La Paz,3,8,0,7,7,7,5,0,-1,7,7
86.0,Valverde,1,5,4,8,1,1,6,0,-1,1,1
87.0,Mirasierra,6,1,1,7,2,0,5,0,-1,2,0
88.0,El Goloso,0,2,7,4,2,0,14,3,-1,2,0
91.0,Casa de Campo,3,8,0,3,2,0,3,0,-1,2,0
92.0,Argüelles,7,0,0,3,4,4,3,0,0,4,4
93.0,Ciudad Universitaria,3,8,0,3,4,4,11,0,-1,4,4
94.0,Valdezarza,3,8,3,0,4,4,3,0,-1,4,4
95.0,Valdemarín,6,1,1,2,2,0,11,0,-1,2,0
96.0,El Plantío,2,6,5,6,3,3,7,1,-1,3,3
97.0,Aravaca,6,1,1,7,2,0,11,0,2,2,0
101.0,Los Cármenes,0,2,7,4,0,8,8,0,3,0,8
102.0,Puerta del Ángel,1,4,3,0,1,1,9,0,-1,1,1
103.0,Lucero,3,4,3,0,0,2,12,0,1,0,2
104.0,Aluche,1,5,4,8,1,1,10,0,-1,1,1
105.0,Campamento,0,2,7,4,0,8,8,0,3,0,8
106.0,Cuatro Vientos,6,1,1,2,2,0,15,0,-1,2,0
107.0,Águilas,1,4,3,0,1,1,9,0,-1,1,1
111.0,Comillas,3,4,3,0,0,2,12,0,1,0,2
112.0,Opañel,3,4,3,0,0,2,12,0,1,0,2
113.0,San Isidro,1,4,4,8,1,1,10,0,1,1,1
114.0,Vista Alegre,1,5,4,8,1,1,10,0,-1,1,1
115.0,Puerta Bonita,1,4,3,0,0,2,9,0,1,0,2
116.0,Buenavista,1,5,4,8,1,1,9,0,1,1,1
117.0,Abrantes,3,4,3,0,0,2,12,0,-1,0,2
121.0,Orcasitas,0,2,7,4,0,8,8,0,3,0,8
122.0,Orcasur,0,2,7,4,2,0,15,0,-1,2,0
123.0,San Fermín,6,4,3,0,0,2,12,0,-1,0,2
124.0,Almendrales,3,4,3,0,0,2,12,0,-1,0,2
125.0,Moscardó,3,4,3,0,0,2,12,0,1,0,2
126.0,Zofío,0,2,7,4,0,8,8,0,3,0,8
127.0,Pradolongo,3,4,3,0,0,2,12,0,-1,0,2
131.0,Entrevías,1,4,3,0,1,1,10,0,1,1,1
132.0,San Diego,1,5,4,8,1,1,10,0,1,1,1
133.0,Palomeras Bajas,1,4,3,0,1,1,9,0,1,1,1
134.0,Palomeras Sureste,1,4,3,8,1,1,10,0,1,1,1
